,experiment_id,protocol
0,20230918_Marc_ERC SOC Hab_Males_box ab_01_01_1,hab
1,20230918_Marc_ERC SOC Hab_Males_box ab_02_01_1,hab
2,20230918_Marc_ERC SOC Hab_Males_box ab_03_01_1,hab
3,20230918_Marc_ERC SOC Hab_Males_box ab_04_01_1,hab
4,20230918_Marc_ERC SOC Hab_Males_box ab_05_01_1,hab
5,20230918_Marc_ERC SOC Hab_Males_box ab_06_01_1,hab
6,20230918_Marc_ERC SOC Hab_Males_box bc_01_01_1,hab
7,20230918_Marc_ERC SOC Hab_Males_box bc_02_01_1,hab
8,20230918_Marc_ERC SOC Hab_Males_box bc_03_01_1,hab
9,20230918_Marc_ERC SOC Hab_Males_box bc_04_01_1,hab
10,20230918_Marc_ERC SOC Hab_Males_box bc_05_01_1,hab
11,20230918_Marc_ERC SOC Hab_Males_box bc_06_01_1,hab
12,20230919_Marc_ERC SOC FOC1_Males_box ab_01_01_1,foc1
13,20230919_Marc_ERC SOC FOC1_Males_box ab_02_01_1,foc1
14,20230919_Marc_ERC SOC FOC1_Males_box ab_03_01_1,foc1
15,20230919_Marc_ERC SOC FOC1_Males_box ab_04_01_1,foc1
16,20230919_Marc_ERC SOC FOC1_Males_box ab_05_01_1,foc1
17,20230919_Marc_ERC SOC FOC1_Males_box ab_06_01_1,foc1
18,20230919_Marc_ERC SOC FOC1_Males_box bc_01_01_1,foc1
19,20230919_Marc_ERC SOC FOC1_Males_box bc_02_01_1,foc1
20,20230919_Marc_ERC SOC FOC1_Males_box bc_03_01_1,foc1
21,20230919_Marc_ERC SOC FOC1_Males_box bc_04_01_1,foc1
22,20230919_Marc_ERC SOC FOC1_Males_box bc_05_01_1,foc1
23,20230919_Marc_ERC SOC FOC1_Males_box bc_06_01_1,foc1
24,20230919_Marc_ERC SOC FOC2_Males_box ab_01_01_1,foc2
25,20230919_Marc_ERC SOC FOC2_Males_box ab_02_01_1,foc2
26,20230919_Marc_ERC SOC FOC2_Males_box ab_03_01_1,foc2
27,20230919_Marc_ERC SOC FOC2_Males_box ab_04_01_1,foc2
28,20230919_Marc_ERC SOC FOC2_Males_box ab_05_01_1,foc2
29,20230919_Marc_ERC SOC FOC2_Males_box ab_06_01_1,foc2
30,20230919_Marc_ERC SOC FOC2_Males_box bc_01_01_1,foc2
31,20230919_Marc_ERC SOC FOC2_Males_box bc_02_01_1,foc2
32,20230919_Marc_ERC SOC FOC2_Males_box bc_03_01_1,foc2
33,20230919_Marc_ERC SOC FOC2_Males_box bc_04_01_1,foc2
34,20230919_Marc_ERC SOC FOC2_Males_box bc_05_01_1,foc2
35,20230919_Marc_ERC SOC FOC2_Males_box bc_06_01_1,foc2
36,20230920_Marc_ERC SOC SOC_Males_box ab_01_01_1,soc
37,20230920_Marc_ERC SOC SOC_Males_box ab_02_01_1,soc
38,20230920_Marc_ERC SOC SOC_Males_box ab_03_01_1,soc
39,20230920_Marc_ERC SOC SOC_Males_box ab_04_01_1,soc
40,20230920_Marc_ERC SOC SOC_Males_box ab_05_01_1,soc
41,20230920_Marc_ERC SOC SOC_Males_box ab_06_01_1,soc
42,20230920_Marc_ERC SOC SOC_Males_box bc_01_01_1,soc
43,20230920_Marc_ERC SOC SOC_Males_box bc_02_01_1,soc
44,20230920_Marc_ERC SOC SOC_Males_box bc_03_01_1,soc
45,20230920_Marc_ERC SOC SOC_Males_box bc_04_01_1,soc
46,20230920_Marc_ERC SOC SOC_Males_box bc_05_01_1,soc
47,20230920_Marc_ERC SOC SOC_Males_box bc_06_01_1,soc
48,20230921_Marc_ERC SOC S1_Males_box ab_01_01_1,s1
49,20230921_Marc_ERC SOC S1_Males_box ab_02_01_1,s1
50,20230921_Marc_ERC SOC S1_Males_box ab_03_01_1,s1
51,20230921_Marc_ERC SOC S1_Males_box ab_04_01_1,s1
52,20230921_Marc_ERC SOC S1_Males_box ab_05_01_1,s1
53,20230921_Marc_ERC SOC S1_Males_box ab_06_01_1,s1
54,20230921_Marc_ERC SOC S1_Males_box bc_01_01_1,s1
55,20230921_Marc_ERC SOC S1_Males_box bc_02_01_1,s1
56,20230921_Marc_ERC SOC S1_Males_box bc_03_01_1,s1
57,20230921_Marc_ERC SOC S1_Males_box bc_04_01_1,s1
58,20230921_Marc_ERC SOC S1_Males_box bc_05_01_1,s1
59,20230921_Marc_ERC SOC S1_Males_box bc_06_01_1,s1
60,20230921_Marc_ERC SOC S2_Males_box ab_01_01_1,s2
61,20230921_Marc_ERC SOC S2_Males_box ab_02_01_1,s2
62,20230921_Marc_ERC SOC S2_Males_box ab_03_01_1,s2
63,20230921_Marc_ERC SOC S2_Males_box ab_04_01_1,s2
64,20230921_Marc_ERC SOC S2_Males_box ab_05_01_1,s2
65,20230921_Marc_ERC SOC S2_Males_box ab_06_01_1,s2
66,20230921_Marc_ERC SOC S2_Males_box bc_01_01_1,s2
67,20230921_Marc_ERC SOC S2_Males_box bc_02_01_1,s2
68,20230921_Marc_ERC SOC S2_Males_box bc_03_01_1,s2
69,20230921_Marc_ERC SOC S2_Males_box bc_04_01_1,s2
70,20230921_Marc_ERC SOC S2_Males_box bc_05_01_1,s2
71,20230921_Marc_ERC SOC S2_Males_box bc_06_01_1,s2
